id,name,age,free,recommendations,date
324510,Boundless,0,False,1525,"11 Sep, 2018"
291550,Brawlhalla,0,True,2803,"17 Oct, 2017"
738520,Breathedge,0,False,10550,"25 Feb, 2021"
684410,Bridge Constructor Portal,0,False,3254,"20 Dec, 2017"
955050,Bright Memory,0,False,27922,"25 Mar, 2020"
1178830,Bright Memory: Infinite,0,False,20736,"11 Nov, 2021"
1163590,Bullet Girls Phantasia,18,False,443,"16 Jan, 2020"
491540,The Bus,0,False,2549,"25 Mar, 2021"
1494470,BUSTAFELLOWS,0,False,149,"30 Jul, 2021"
515180,Bus Simulator 18,0,False,6002,"13 Jun, 2018"
976590,Bus Simulator 21,0,False,1184,"7 Sep, 2021"
971690,Cake Bash,0,False,153,"14 Oct, 2020"
399810,Call of Cthulhu®,0,False,6294,"29 Oct, 2018"
204450,Call of Juarez: Gunslinger,0,False,12613,"22 May, 2013"
1042490,Call of the Sea,0,False,1673,"8 Dec, 2020"
302670,Call to Arms,16,False,10115,"27 Apr, 2018"
400750,Call to Arms - Gates of Hell: Ostfront,0,False,3546,"11 Jun, 2021"
1252710,Cardaclysm,0,False,315,"26 Feb, 2021"
320300,Car Mechanic Simulator 2015,0,False,11241,"23 Apr, 2015"
645630,Car Mechanic Simulator 2018,0,False,37518,"28 Jul, 2017"
1190000,Car Mechanic Simulator 2021,0,False,9981,"11 Aug, 2021"
689980,Car Trader Simulator,0,False,365,"4 Nov, 2020"
944250,Castle Flipper,0,False,584,"26 May, 2021"
333640,Caves of Qud,0,False,4228,"15 Jul, 2015"
979640,Cepheus Protocol,0,False,903,"15 May, 2020"
1016800,Chernobylite,18,False,6387,"28 Jul, 2021"
518060,Chess Ultra,0,False,1016,"21 Jun, 2017"
330020,Children of Morta,0,False,8627,"3 Sep, 2019"
695630,Chinese Paladin：Sword and Fairy,0,False,1514,"11 Oct, 2017"
736190,Chinese Parents,0,False,18930,"28 Sep, 2018"
219640,Chivalry: Medieval Warfare,0,False,45527,"16 Oct, 2012"
1153640,Chorus,0,False,533,"3 Dec, 2021"
375480,Chronicon,0,False,6162,"21 Aug, 2020"
255710,Cities: Skylines,0,False,132954,"10 Mar, 2015"
1386780,City of Gangsters,0,False,531,"9 Aug, 2021"
661920,Claybook,0,False,160,"31 Aug, 2018"
746850,Cloudpunk,0,False,8440,"23 Apr, 2020"
397950,Clustertruck,0,False,8302,"27 Sep, 2016"
1100410,Commandos 2 - HD Remaster,0,False,1410,"24 Jan, 2020"
1229420,Company of Crime,0,False,114,"7 Aug, 2020"
440900,Conan Exiles,18,False,51518,"8 May, 2018"
989690,Conan Unconquered,0,False,953,"29 May, 2019"
1022710,Conglomerate 451,0,False,122,"20 Feb, 2020"
787740,Construction Simulator 2 US - Pocket Edition,0,False,470,"12 Sep, 2018"
289950,Construction Simulator 2015,0,False,3825,"18 Nov, 2014"
870780,Control Ultimate Edition,16,False,20579,"27 Aug, 2020"
870780,Control Ultimate Edition,16,False,20579,"27 Aug, 2020"
287630,The Council,0,True,3102,"13 Mar, 2018"
10,Counter-Strike,0,False,116308,"1 Nov, 2000"
80,Counter-Strike: Condition Zero,0,False,14262,"1 Mar, 2004"
240,Counter-Strike: Source,0,False,85619,"1 Nov, 2004"
730,Counter-Strike: Global Offensive,0,True,3245159,"21 Aug, 2012"
280790,Creativerse,0,True,2026,"8 May, 2017"
893520,Creative Destruction,0,True,719,"2 Aug, 2018"
