ID,NAME,OFFICIAL,TWITTER,FACEBOOK,TWITCH,YOUTUBE
1372,Counter-Strike: Global Offensive,http://blog.counter-strike.net/,https://twitter.com/csgo_dev,https://www.facebook.com/CounterStrike,,https://www.youtube.com/user/Valve
307,Counter-Strike: Source,http://store.steampowered.com/app/240,,,,
9739,Crossfire,http://crossfire.z8games.com/,https://twitter.com/CrossFireOnline,https://www.facebook.com/crossfireonline,https://www.twitch.tv/cfonline,https://www.youtube.com/c/CrossFireWest
34894,Crossout,http://crossout.net/,https://twitter.com/CROSSOUT_EN,https://www.facebook.com/CROSSOUTgame,,
103381,CRSED: F.O.A.D.,https://crsed.net/,https://twitter.com/CuisineRoyaleBR,https://www.facebook.com/CuisineRoyaleBR,,https://www.youtube.com/channel/UCzKrA3jaz2-JPkR0Ef7pYzg
2918,Crusader Kings II,http://www.crusaderkings.com/,,,,
125373,Curse of the Dead Gods,https://curse-of-the-dead-gods.com/,,,,
81256,Dakar 18,http://www.dakarthegame.com/,https://twitter.com/DakartheGame,https://www.facebook.com/dakarthegame,,
9694,Danganronpa 2: Goodbye Despair,http://www.danganronpa.com/2/,,,,
12579,Danganronpa V3: Killing Harmony,,,,,
7842,Danganronpa: Trigger Happy Havoc,http://nisamerica.com/games/danganronpa/home.html,,,,
133673,Danger Scavenger,https://stardrifters.com/danger-scavenger,,,,
20048,Darksiders II: Deathinitive Edition,https://www.thqnordic.com/games/darksiders-2,https://twitter.com/darksiders,https://www.facebook.com/Darksiders,,
113797,DCL - The Game,https://game.dcl.aero/,,https://www.facebook.com/dronechampionsleague,,https://www.youtube.com/channel/UCbrz_XSN71O32ylq9MbZK4w
19564,Death Stranding,http://www.kojimaproductions.jp/en/,,,,https://www.youtube.com/channel/UC6lUqvh42Oc3XL19Edgd9QA
116021,Dungeon Defenders: Awakened,https://forums.dungeondefenders.com/,https://twitter.com/Chromatic_Games,https://www.facebook.com/DungeonDefenders,,
12278,Dungeon Keeper 3,,,,,
52935,Dungeon of the Endless: Crystal Edition,,,,,
329,Dungeon Siege,,,,,
76816,Dungreed,https://www.nicalis.com/games/dungreed,,,,
25260,DUSK,http://www.NewBlood.games,https://twitter.com/DUSKdev,,,
25229,Dwarrows,http://www.dwarrows.com,https://twitter.com/dwarrowsgame,,,https://www.youtube.com/channel/UCajz14e3jx6QKd_062CQL4Q/featured
3042,Dying Light,http://www.dyinglightgame.com/,https://twitter.com/DyingLightGame,https://www.facebook.com/DyingLightGame,,https://www.youtube.com/user/DyingLightGame
76891,Dying Light: Bad Blood,https://dyinglightgame.com/badblood/,https://twitter.com/DLBadBlood,,,
113998,DYSMANTLE,https://www.dysmantle.com/,,,,
8935,Earth 2160,http://www.earth2160.com,,,,
11002,Earth Defense Force 4.1: The Shadow of New Despair,http://www.theedfdeploys.com/edf4.1/,,,,
27283,Earth Defense Force 5,https://www.d3p.co.jp/edf5/,https://twitter.com/EDF_OFFICIAL,,,
28526,Edge Of Eternity,http://www.eoegame.com/,https://twitter.com/eoegame,https://www.facebook.com/EoeGame,,
2955,Elite: Dangerous,http://www.elitedangerous.com/,https://twitter.com/EliteDangerous,https://www.facebook.com/EliteDangerousOfficial,,
119386,Empire of Sin,https://www.paradoxplaza.com/empire-of-sin/ESES01GSK0000001-MASTER.html,https://twitter.com/EmpireOfSinGame,https://www.facebook.com/EmpireOfSinGame,https://www.twitch.tv/paradoxinteractive,https://www.youtube.com/user/Paradoxplaza
19249,Empyrion - Galactic Survival,http://empyriongame.com,,,,
1345,Enclave,http://www.enclave-game.com/,,,,
52951,Endless Legend: Emperor Edition,,,,,
11182,Enter the Gungeon,http://www.enterthegungeon.com,https://twitter.com/dodgerollgames,https://www.facebook.com/Enter-the-Gungeon-1522893311266325/,,
11657,Epistory - Typing Chronicles,http://www.epistorygame.com,https://twitter.com/epistorygame?lang=en,https://www.facebook.com/epistorygame,,
52973,Euro Truck Simulator 2: Legendary Edition,,,,,
51815,Europa Universalis III Complete,,,,,
1904,Europa Universalis IV,http://www.europauniversalis4.com,https://twitter.com/E_Universalis,https://www.facebook.com/EuropaUniversalis,,
2584,EVE Online,http://www.eveonline.com,https://twitter.com/eveonline,https://www.facebook.com/eveonline,https://www.twitch.tv/ccp,https://www.youtube.com/channel/UCwF3VyalTHzL0L-GDlwtbRw
105551,Everreach: Project Eden,https://www.eldgames.com/everreach,,,,
10501,Expeditions: Viking,http://expeditionsseries.com,,,,
76887,Fade to Silence,http://fadetosilence.com/,https://twitter.com/BlackForestTeam,https://www.facebook.com/fadetosilencegame,,
46633,Far Cry 2: Fortune's Edition,,,,,
136307,Far Cry Compilation : Far Cry 4 + Far Cry Primal,,,,,
136307,Far Cry Compilation : Far Cry 4 + Far Cry Primal,,,,,
113111,Far Cry New Dawn,https://far-cry.ubisoft.com/game,https://twitter.com/FarCrygame,,,https://www.youtube.com/playlist?list=PLpwyzkZha0Z7G-o616hulBY-eXZrYzj-i
19409,Farming Simulator 17,https://www.farming-simulator.com/,https://twitter.com/farmingsim,https://www.facebook.com/giants.farming.simulator,,https://www.youtube.com/user/giantssoftware
142604,Farming Simulator 19: Alpine Farming,,,,,
86478,Fear the Wolves,http://fear-the-wolves.com/,https://twitter.com/ftw_thegame,https://www.facebook.com/FearTheWolves,,
117855,FIA European Truck Racing Championship,,,,,
27547,Fire Pro Wrestling World,,,,,
9730,Firewatch,http://www.firewatchgame.com,https://twitter.com/camposanto,https://www.facebook.com/camposantogames,,https://www.youtube.com/user/camposantoprod
15103,Flight Control,http://firemint.com/?page_id=802,,,,
3075,FTL: Faster Than Light,http://www.ftlgame.com/,,,,
530,Hitman: Absolution,http://hitman.com/,https://twitter.com/hitman,https://www.facebook.com/hitman,https://www.twitch.tv/hitman,https://www.youtube.com/user/hitman
76413,HITMAN: Blood Money Requiem Pack,https://hitman.com/,,,,
110943,Ho Tu Lo Shu : The Books of Dragon,https://hl.cubejoy.com/,,,,
52028,Hobo: Tough Life,,,,,
28164,Holdfast: Nations At War,http://www.holdfastgame.com,https://twitter.com/holdfastgame,https://www.facebook.com/holdfastgame,,https://www.youtube.com/channel/UC5tf7HNG7XI7iwitR9rTgoA
14593,Hollow Knight,http://hollowknight.com,,,,
1886,Homefront: The Revolution,http://www.homefront-game.com/,https://twitter.com/homefrontgame,,,
131888,Hotshot Racing,http://curve-digital.com/,https://twitter.com/CurveDigital,,https://www.twitch.tv/curvedigital,https://www.youtube.com/curvedigital
18927,Hue,http://huethegame.com,https://twitter.com/huethegame,,,
16992,Human: Fall Flat,http://www.nobrakesgames.com/human/,https://twitter.com/HumanFallFlat,https://www.facebook.com/humanfallflat,,https://www.youtube.com/user/NoBrakesGames
7528,King's Quest VIII: The Mask of Eternity,,,,,
1889,Might & Magic: Clash of Heroes,http://mightandmagic.uk.ubi.com/clashofheroes/,,,,
7739,Might and Magic VII: For Blood and Honor,,,,,
127111,The Wolf Among Us: Episode 5 - Cry Wolf,http://www.telltalegames.com/thewolfamongus,https://twitter.com/telltalegames,https://www.facebook.com/telltalegames,,https://www.youtube.com/user/TelltaleGames
